0,1,2,3,4,5,6,7,8,9
angular_velocity_head_tip_abs_IQR,width_head_base_w_forward_10th,width_head_base_w_forward_10th,relative_to_body_radial_velocity_head_tip_w_forward_50th,d_curvature_std_tail_w_forward_abs_90th,curvature_std_head_w_forward_abs_50th,relative_to_neck_radial_velocity_head_tip_10th,relative_to_neck_radial_velocity_head_tip_50th,relative_to_head_base_radial_velocity_head_tip_50th,relative_to_neck_radial_velocity_head_tip_50th
curvature_std_neck_abs_10th,curvature_std_tail_w_forward_abs_90th,motion_mode_backward_frequency,d_angular_velocity_midbody_w_backward_abs_90th,d_relative_to_head_base_angular_velocity_head_tip_abs_50th,curvature_head_abs_10th,curvature_std_neck_abs_IQR,motion_mode_backward_frequency,angular_velocity_hips_w_forward_abs_10th,motion_mode_backward_frequency
d_relative_to_head_base_angular_velocity_head_tip_w_backward_abs_50th,d_area_w_backward_10th,angular_velocity_head_tip_w_backward_abs_90th,curvature_std_neck_abs_10th,d_curvature_neck_w_backward_abs_10th,width_tail_base_w_backward_10th,d_angular_velocity_head_tip_abs_10th,curvature_std_neck_abs_10th,relative_to_hips_radial_velocity_tail_tip_w_backward_90th,curvature_std_neck_w_backward_abs_90th
d_area_w_backward_10th,d_curvature_mean_hips_w_forward_abs_IQR,d_relative_to_body_radial_velocity_head_tip_w_forward_90th,curvature_std_hips_w_backward_abs_90th,curvature_mean_head_w_forward_abs_50th,relative_to_neck_radial_velocity_head_tip_w_backward_90th,d_length_IQR,length_IQR,d_major_axis_50th,relative_to_body_angular_velocity_tail_tip_abs_IQR
relative_to_body_radial_velocity_tail_tip_w_backward_10th,relative_to_head_base_radial_velocity_head_tip_w_forward_10th,d_curvature_std_head_w_forward_abs_90th,angular_velocity_neck_w_forward_abs_90th,width_tail_base_w_backward_10th,width_midbody_10th,d_area_w_forward_IQR,angular_velocity_tail_tip_w_backward_abs_IQR,width_tail_base_w_backward_10th,curvature_mean_head_w_forward_abs_50th
curvature_head_w_forward_abs_IQR,width_midbody_10th,width_tail_base_w_backward_10th,d_relative_to_head_base_angular_velocity_head_tip_w_forward_abs_10th,d_angular_velocity_head_tip_w_forward_abs_50th,relative_to_head_base_radial_velocity_head_tip_w_backward_IQR,d_width_tail_base_IQR,relative_to_body_radial_velocity_tail_tip_w_backward_10th,d_relative_to_head_base_angular_velocity_head_tip_w_forward_abs_90th,d_relative_to_body_radial_velocity_head_tip_w_forward_90th
curvature_head_abs_50th,curvature_head_abs_90th,d_width_tail_base_IQR,d_area_w_backward_10th,relative_to_head_base_radial_velocity_head_tip_w_backward_IQR,curvature_head_abs_90th,width_midbody_10th,d_relative_to_tail_base_radial_velocity_tail_tip_50th,curvature_tail_w_forward_abs_90th,relative_to_head_base_angular_velocity_head_tip_abs_50th
relative_to_body_radial_velocity_head_tip_w_forward_10th,d_curvature_std_head_w_forward_abs_50th,minor_axis_90th,d_relative_to_body_radial_velocity_head_tip_w_forward_90th,relative_to_body_radial_velocity_head_tip_w_forward_50th,width_head_base_w_forward_90th,curvature_std_neck_w_forward_abs_50th,curvature_mean_neck_w_forward_abs_50th,relative_to_head_base_angular_velocity_head_tip_w_forward_abs_IQR,d_width_tail_base_IQR
relative_to_hips_radial_velocity_tail_tip_w_backward_10th,curvature_mean_head_abs_90th,d_relative_to_tail_base_radial_velocity_tail_tip_50th,relative_to_head_base_radial_velocity_head_tip_w_forward_90th,curvature_hips_w_backward_abs_IQR,curvature_mean_head_abs_90th,minor_axis_w_backward_10th,relative_to_hips_radial_velocity_tail_tip_w_backward_10th,curvature_head_w_forward_abs_IQR,d_relative_to_tail_base_radial_velocity_tail_tip_50th
motion_mode_backward_fraction,curvature_std_neck_w_forward_abs_50th,curvature_head_abs_90th,minor_axis_w_forward_50th,width_midbody_90th,width_midbody_w_forward_90th,quirkiness_w_forward_50th,relative_to_body_radial_velocity_head_tip_w_forward_50th,width_midbody_10th,curvature_head_abs_50th
curvature_std_midbody_w_backward_abs_90th,d_width_head_base_IQR,curvature_mean_head_abs_90th,d_width_tail_base_IQR,motion_mode_backward_fraction,path_transit_time_body_95th,d_width_head_base_IQR,curvature_hips_w_backward_abs_IQR,d_width_head_base_10th,relative_to_body_radial_velocity_head_tip_w_forward_50th
curvature_std_tail_abs_50th,d_minor_axis_w_backward_90th,d_angular_velocity_head_tip_w_backward_abs_50th,d_relative_to_neck_angular_velocity_head_tip_w_forward_abs_IQR,motion_mode_backward_duration_50th,d_length_w_forward_IQR,width_tail_base_w_forward_50th,angular_velocity_neck_w_backward_abs_90th,d_relative_to_body_speed_midbody_w_forward_abs_90th,motion_mode_backward_fraction
d_quirkiness_w_forward_IQR,length_w_backward_10th,motion_mode_backward_fraction,width_midbody_90th,curvature_std_hips_abs_10th,width_head_base_10th,curvature_std_hips_abs_10th,curvature_hips_w_backward_abs_50th,d_quirkiness_IQR,width_head_base_10th
curvature_std_head_w_forward_abs_50th,width_midbody_w_forward_10th,d_width_head_base_IQR,width_tail_base_w_forward_50th,relative_to_head_base_angular_velocity_head_tip_abs_IQR,curvature_tail_w_forward_abs_50th,width_midbody_w_forward_10th,motion_mode_backward_fraction,d_angular_velocity_tail_base_abs_50th,d_curvature_std_midbody_w_backward_abs_50th
relative_to_neck_radial_velocity_head_tip_50th,motion_mode_forward_fraction,relative_to_head_base_radial_velocity_head_tip_w_backward_10th,curvature_std_hips_abs_10th,d_relative_to_hips_radial_velocity_tail_tip_50th,width_tail_base_w_forward_50th,d_quirkiness_w_forward_IQR,d_quirkiness_IQR,width_midbody_w_forward_10th,d_width_head_base_IQR
width_tail_base_w_forward_10th,curvature_std_head_w_forward_abs_50th,curvature_std_head_w_forward_abs_50th,curvature_std_head_w_forward_abs_50th,relative_to_head_base_angular_velocity_head_tip_abs_10th,curvature_std_hips_abs_10th,curvature_std_head_w_forward_abs_50th,path_coverage_midbody,curvature_std_head_w_forward_abs_50th,curvature_head_w_backward_abs_50th
width_head_base_50th,relative_to_neck_radial_velocity_head_tip_50th,relative_to_neck_radial_velocity_head_tip_50th,relative_to_neck_radial_velocity_head_tip_50th,relative_to_neck_radial_velocity_head_tip_50th,width_midbody_w_forward_10th,relative_to_neck_radial_velocity_head_tip_50th,curvature_std_head_w_forward_abs_50th,relative_to_neck_radial_velocity_head_tip_50th,path_coverage_head
relative_to_head_base_radial_velocity_head_tip_w_forward_IQR,motion_mode_backward_frequency,d_relative_to_head_base_radial_velocity_head_tip_w_backward_10th,relative_to_neck_radial_velocity_head_tip_90th,relative_to_head_base_radial_velocity_head_tip_w_forward_IQR,d_speed_head_base_w_backward_50th,angular_velocity_head_tip_w_forward_abs_10th,d_area_w_backward_IQR,relative_to_head_base_radial_velocity_head_tip_w_forward_IQR,relative_to_body_radial_velocity_tail_tip_50th
length_IQR,curvature_std_neck_abs_10th,d_angular_velocity_head_tip_abs_10th,curvature_std_tail_w_forward_abs_10th,major_axis_IQR,relative_to_hips_radial_velocity_tail_tip_w_backward_90th,length_IQR,curvature_mean_neck_abs_50th,length_IQR,relative_to_head_base_radial_velocity_head_tip_w_forward_IQR
d_angular_velocity_head_tip_abs_10th,angular_velocity_abs_IQR,relative_to_tail_base_radial_velocity_tail_tip_w_backward_10th,d_angular_velocity_head_tip_abs_10th,length_IQR,minor_axis_w_forward_10th,d_relative_to_head_base_angular_velocity_head_tip_w_forward_abs_10th,d_major_axis_50th,d_angular_velocity_head_tip_abs_10th,length_IQR
relative_to_hips_radial_velocity_tail_tip_50th,length_IQR,angular_velocity_tail_tip_w_backward_abs_IQR,relative_to_body_radial_velocity_tail_tip_IQR,d_quirkiness_50th,curvature_std_midbody_w_backward_abs_10th,relative_to_head_base_angular_velocity_head_tip_w_backward_abs_90th,curvature_mean_hips_w_forward_abs_50th,curvature_head_abs_10th,curvature_tail_w_backward_abs_50th
